                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57491,                0.70526,                0.92417,                0.76208,                  0.875,                0.92375,                0.60863,                 1.0984,                 1.7556,                   1.17,                      0,                      0,                      0
                      2,                0.59934,                0.59593,                0.92873,                0.98679,                  0.875,                0.96227,                0.66256,                 1.0811,                 1.6258,                 1.1633,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                0.67812,                0.91964,                 1.0072,                0.93721,                  0.875,                  0.971,                 0.6796,                 1.0637,                  1.539,                 1.1568,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                0.67562,                0.77048,                0.97522,                0.87996,                      1,                0.98167,                0.64589,                 1.0671,                 1.3906,                 1.1537,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                0.54741,                0.65471,                0.89717,                      1,                0.97944,                  0.995,                0.66618,                 1.0644,                 1.3485,                 1.1359,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.52297,                0.50323,                0.88128,                      1,                0.96154,                  0.995,                0.71651,                 1.0341,                 1.6018,                 1.0992,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.46622,                0.50514,                0.84677,                      1,                0.96424,                  0.995,                0.68041,                0.98966,                 1.7544,                 1.0818,             0.00011287,             0.00011287,             0.00011287
                      8,                0.51058,                0.70886,                0.87077,                0.98408,                      1,                  0.995,                0.68845,                 0.9889,                 1.6214,                 1.0797,              0.0001303,              0.0001303,              0.0001303
                      9,                0.64881,                0.74069,                 0.9846,                0.87695,                  0.875,                0.98167,                0.67027,                 1.0438,                 1.6537,                 1.1102,             0.00014733,             0.00014733,             0.00014733
                     10,                0.52271,                0.57587,                0.92733,                      1,                0.95805,                  0.995,                 0.6386,                 1.1308,                 1.5798,                 1.1653,             0.00016396,             0.00016396,             0.00016396
                     11,                0.56783,                0.71973,                0.88944,                      1,                0.73331,                0.93147,                0.56032,                 1.1303,                 1.8437,                 1.1617,              0.0001802,              0.0001802,              0.0001802
                     12,                0.56448,                0.55055,                0.95284,                0.86869,                      1,                0.98167,                0.60572,                  1.099,                 1.8447,                 1.1534,             0.00019604,             0.00019604,             0.00019604
                     13,                0.61237,                0.57449,                0.89345,                0.92613,                   0.75,                0.85006,                0.56503,                 1.0682,                 1.8873,                 1.1771,             0.00021149,             0.00021149,             0.00021149
                     14,                0.51849,                0.51874,                0.86762,                0.92498,                   0.75,                0.84761,                0.54257,                 1.1421,                 2.0322,                 1.2204,             0.00022654,             0.00022654,             0.00022654
                     15,                0.60218,                0.69187,                0.88177,                0.94436,                  0.875,                0.89311,                0.52768,                 1.1614,                 2.2321,                 1.2115,             0.00024119,             0.00024119,             0.00024119
                     16,                0.68001,                0.58791,                 1.0372,                0.99945,                  0.875,                0.88871,                0.55462,                  1.197,                 2.1709,                 1.2267,             0.00025545,             0.00025545,             0.00025545
                     17,                0.57254,                0.57048,                0.87911,                      1,                0.84208,                0.88521,                0.55454,                 1.2482,                 2.2598,                 1.2585,             0.00026931,             0.00026931,             0.00026931
                     18,                0.56881,                0.52624,                0.95005,                      1,                0.84208,                0.88521,                0.55454,                 1.2482,                 2.2598,                 1.2585,             0.00028278,             0.00028278,             0.00028278
                     19,                0.47612,                0.49596,                0.84054,                0.85168,                  0.875,                0.86748,                0.57818,                 1.2481,                 2.1474,                 1.2564,             0.00029585,             0.00029585,             0.00029585
                     20,                 0.6052,                0.60654,                 1.0182,                0.85168,                  0.875,                0.86748,                0.57818,                 1.2481,                 2.1474,                 1.2564,             0.00030852,             0.00030852,             0.00030852
                     21,                0.50091,                0.52973,                0.89547,                0.99428,                  0.875,                0.87606,                0.58399,                 1.3266,                 1.7222,                 1.3187,              0.0003208,              0.0003208,              0.0003208
                     22,                0.47024,                0.48591,                0.87826,                0.99428,                  0.875,                0.87606,                0.58399,                 1.3266,                 1.7222,                 1.3187,             0.00033268,             0.00033268,             0.00033268
                     23,                0.46375,                0.46732,                0.88515,                 0.9924,                  0.875,                0.87691,                0.52853,                  1.316,                 1.2752,                 1.3214,             0.00034417,             0.00034417,             0.00034417
                     24,                0.55522,                0.51192,                0.92632,                 0.9924,                  0.875,                0.87691,                0.52853,                  1.316,                 1.2752,                 1.3214,             0.00035526,             0.00035526,             0.00035526
                     25,                0.49412,                 0.3955,                0.85998,                      1,                0.86572,                0.88731,                0.53276,                 1.3469,                 1.1322,                 1.3392,             0.00036595,             0.00036595,             0.00036595
                     26,                0.63864,                0.57441,                0.94442,                      1,                0.86572,                0.88731,                0.53276,                 1.3469,                 1.1322,                 1.3392,             0.00037625,             0.00037625,             0.00037625
                     27,                0.46876,                0.41917,                0.83821,                      1,                0.86623,                  0.971,                0.62072,                 1.3288,                 1.0431,                  1.322,             0.00038615,             0.00038615,             0.00038615
                     28,                0.58363,                0.47677,                0.92137,                      1,                0.86623,                  0.971,                0.62072,                 1.3288,                 1.0431,                  1.322,             0.00039566,             0.00039566,             0.00039566
                     29,                0.58642,                0.48338,                 0.8874,                      1,                0.99019,                  0.995,                0.63407,                 1.3783,                 1.0271,                 1.3321,             0.00040477,             0.00040477,             0.00040477
                     30,                0.51384,                0.48604,                0.89293,                      1,                0.99019,                  0.995,                0.63407,                 1.3783,                 1.0271,                 1.3321,             0.00041348,             0.00041348,             0.00041348
                     31,                0.65587,                0.46231,                0.98201,                 0.7917,                      1,                 0.9235,                 0.5419,                  1.394,                  1.193,                 1.3451,              0.0004218,              0.0004218,              0.0004218
                     32,                0.55167,                0.56393,                  0.894,                 0.7917,                      1,                 0.9235,                 0.5419,                  1.394,                  1.193,                 1.3451,             0.00042972,             0.00042972,             0.00042972
                     33,                0.57709,                0.58914,                0.96209,                0.79837,                0.99083,                0.90929,                0.45867,                 1.4165,                 1.3371,                 1.3246,             0.00043725,             0.00043725,             0.00043725
                     34,                0.64898,                0.61939,                 1.0198,                0.79837,                0.99083,                0.90929,                0.45867,                 1.4165,                 1.3371,                 1.3246,             0.00044438,             0.00044438,             0.00044438
                     35,                0.59606,                 0.5372,                0.96457,                0.86806,                      1,                0.91167,                0.47768,                 1.4748,                 1.1828,                 1.3491,             0.00045111,             0.00045111,             0.00045111
